GGP,SO,TAXON,CHEBI,GO,CL,DNA,CELL_TYPE,CELL_LINE,RNA,PROTEIN,DISEASE,CHEMICAL,AMINO_ACID,ANATOMICAL_SYSTEM,CANCER,CELL,CELLULAR_COMPONENT,DEVELOPING_ANATOMICAL_STRUCTURE,GENE_OR_GENE_PRODUCT,IMMATERIAL_ANATOMICAL_ENTITY,MULTI_TISSUE_STRUCTURE,ORGAN,ORGANISM,ORGANISM_SUBDIVISION,ORGANISM_SUBSTANCE,PATHOLOGICAL_FORMATION,SIMPLE_CHEMICAL,TISSUE,label_fake
0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
0,0,2,4,1,0,0,0,0,0,1,7,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,3,0,1
1,0,3,6,1,0,0,0,0,0,1,11,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,3,0,1
0,0,2,3,0,0,0,0,0,0,3,1,0,0,0,2,0,0,0,1,0,0,2,0,0,0,0,0,0,1
0,0,7,2,0,0,0,0,0,0,0,11,0,0,0,0,0,2,0,0,0,0,4,4,0,0,2,2,2,0
0,0,1,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
0,0,1,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,1,6,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
0,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
0,0,1,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,2,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
0,0,1,5,0,0,0,0,0,0,0,1,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,4,0,0
0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,2,0,0
0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
0,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0
0,0,4,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,8,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
0,0,4,4,0,0,0,0,0,0,1,10,1,0,0,0,1,3,0,0,0,2,2,2,1,0,1,1,0,1
0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1
0,0,2,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,2,1,0,0,3,0,1
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,7,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1
0,1,15,0,0,1,1,0,0,0,2,3,1,0,0,1,0,0,0,0,0,0,2,11,0,0,0,0,0,1
1,14,57,8,0,3,7,3,0,0,6,7,1,0,0,2,4,0,0,3,0,2,1,30,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
0,0,3,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1
0,0,11,1,0,1,0,1,0,0,0,6,0,0,0,0,2,1,0,1,0,0,0,12,0,0,1,0,0,1
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1
0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
0,0,1,3,0,0,6,0,0,0,0,4,0,0,0,1,2,2,0,0,0,0,0,7,0,0,1,0,0,1
0,0,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
0,2,3,4,0,0,0,0,2,0,1,2,2,0,0,0,0,1,0,4,0,2,1,9,1,0,0,2,0,1
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,2,1,1,0,0,0,0,0,0,1,7,0,0,0,1,0,0,0,2,0,1,0,0,0,0,2,0,0,0
0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1
0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0
0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,2,0,0
0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0
1,1,8,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,3,3,12,0,0,0,1,0,0
0,1,14,1,0,1,1,0,1,0,2,3,0,0,0,3,1,2,0,2,0,1,1,10,0,0,0,8,2,0
0,1,2,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0
0,1,7,2,0,0,0,0,0,1,0,4,0,0,0,0,2,1,0,2,0,0,1,12,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1
0,1,5,0,0,0,0,0,3,0,1,4,0,0,0,1,0,0,0,0,0,0,0,13,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0
0,0,4,0,0,0,0,0,0,0,1,4,0,0,0,0,0,1,0,0,0,0,0,13,2,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,1
0,0,2,5,0,0,1,0,0,0,1,4,2,0,0,0,1,0,0,3,0,0,0,7,3,0,0,0,0,1
2,3,22,2,0,0,2,0,0,0,3,8,1,0,0,0,0,0,0,3,0,1,0,17,0,0,0,0,1,1
0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0,0,13,0,0,0,0,0,0,0,0,17,2,0,0,2,2,0,0,0,0,0,3,14,0,0,0,0,0,0
0,3,28,3,0,0,0,0,0,0,0,25,1,0,0,1,0,1,0,0,0,0,2,13,0,0,0,0,0,0
0,0,21,1,0,0,1,0,0,0,2,16,1,0,0,4,0,0,0,6,0,0,1,13,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,13,1,0,0,1,1,0,0,0,0,1,5,7,1,0,1,1,0,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0
0,1,3,16,0,0,0,0,0,0,1,7,6,0,0,0,0,2,0,1,3,0,2,9,0,0,1,11,2,0
0,0,9,1,0,0,0,0,0,0,0,6,0,0,0,0,0,2,0,1,0,0,2,6,1,0,2,0,0,0
0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,1
0,0,18,2,1,5,1,2,0,0,3,26,2,0,0,2,7,1,0,2,0,4,7,16,4,0,3,1,3,1
0,4,12,2,0,0,0,0,0,0,3,38,1,0,0,3,0,0,0,3,1,0,1,10,2,0,0,2,1,1
0,2,30,1,0,0,3,0,1,0,3,16,7,0,0,4,0,1,0,0,0,0,1,15,0,0,1,1,0,1
0,0,3,4,0,0,0,0,0,0,1,9,4,0,0,2,0,0,0,0,0,2,5,5,0,0,1,3,0,1
4,102,154,15,1,6,22,6,0,0,16,40,3,3,0,0,10,0,0,17,0,3,5,84,0,0,0,7,2,1
0,6,14,2,0,0,1,0,0,0,5,3,0,0,0,0,0,0,0,1,0,0,0,9,0,0,0,0,0,1
0,14,23,5,0,0,6,0,1,0,4,7,1,0,0,0,2,0,0,4,0,0,0,23,0,0,0,0,0,1
0,0,15,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,1
3,11,44,15,7,6,4,1,2,0,17,64,11,1,0,4,6,3,1,22,0,2,4,71,6,0,2,12,1,1
0,0,8,1,0,0,2,0,0,0,0,5,2,0,0,0,1,0,0,1,0,0,0,6,0,0,2,0,0,1
0,0,4,0,0,0,0,0,0,0,2,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
0,0,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,6,0,0,0,0,0,1
0,0,7,18,0,0,0,0,0,0,0,4,21,0,0,0,0,0,0,0,0,0,2,5,1,0,0,16,0,1
0,2,82,14,0,2,9,1,1,0,11,51,6,2,0,5,3,3,0,3,0,0,5,58,0,0,1,6,1,1
0,1,35,15,0,1,0,0,0,0,1,26,17,1,0,4,1,0,0,0,0,3,5,55,2,0,1,11,5,1
0,0,13,0,0,0,0,0,0,0,0,10,0,0,0,1,0,0,0,1,0,1,1,10,1,0,3,0,0,0
0,1,3,10,0,0,0,0,0,0,1,3,8,0,0,3,0,0,0,0,1,1,0,4,1,0,0,8,0,0
0,0,12,0,0,0,0,0,0,0,2,3,0,1,0,0,1,0,0,0,0,0,0,9,0,0,0,1,0,1
1,25,56,5,0,7,8,1,3,0,9,26,0,2,0,4,14,23,0,13,0,0,6,48,1,0,1,12,2,1
0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,6,8,5,0,0,0,0,0,0,6,4,8,0,0,1,8,0,0,1,0,0,0,8,0,0,2,13,0,0
0,0,6,11,0,0,0,0,0,0,0,7,0,0,0,5,1,0,0,6,0,0,2,6,0,0,0,3,0,1
0,0,8,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2,2,30,3,0,0,2,0,0,0,2,15,7,0,0,0,0,0,0,7,0,0,0,19,0,0,0,0,0,1
0,3,7,8,0,2,0,0,0,0,1,1,0,0,0,1,2,0,0,1,0,0,0,2,0,0,0,0,0,1
0,1,1,0,0,0,0,0,0,0,3,6,2,0,0,0,0,0,0,0,0,0,2,3,0,0,1,0,0,1
0,0,3,3,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,2,0,1,1,0,1,0,2,1
0,0,2,0,0,0,0,0,0,0,4,1,1,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,1
0,6,13,10,0,1,0,0,0,0,6,4,3,1,0,2,11,1,0,3,0,1,0,12,0,0,3,13,0,0
0,2,6,13,0,0,0,0,0,0,1,2,5,0,0,1,0,0,0,0,0,0,0,6,1,0,1,2,1,0
1,2,5,9,0,0,1,0,1,0,8,5,8,0,0,4,3,0,0,1,0,2,2,11,0,0,0,4,0,0
1,3,41,2,0,0,0,1,0,0,0,36,2,1,1,2,2,0,0,1,0,0,2,38,3,0,0,3,0,0
3,9,36,14,4,15,0,3,0,0,8,29,7,0,0,0,17,4,0,3,0,3,2,14,1,0,0,6,1,0
0,6,46,6,1,0,2,0,2,0,2,50,3,2,0,2,2,2,0,5,0,1,8,47,0,0,0,4,0,0
0,1,3,22,0,0,0,0,1,0,0,14,35,0,0,1,0,1,0,1,0,0,2,17,0,0,0,32,1,0
0,2,4,2,0,0,8,0,0,0,2,17,2,0,0,3,0,0,0,3,0,2,0,14,0,0,0,4,0,1
0,1,2,0,0,1,0,0,0,0,2,3,0,0,0,0,0,0,0,2,0,1,1,16,0,0,1,2,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0,1,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1
0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4,0,0,1,0,0,1
0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,1
