persons,norps,facs,orgs,gpes,products,events,arts,laws,langs,dates,times,percents,moneys,ords,cards,quants,location,label_fake
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
2,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,1,1,0,0,0,0,0,3,0,0,0,0,6,0,0,1
0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,5,0,0,1
0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
0,0,0,0,2,0,0,0,0,0,2,3,0,0,1,16,1,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,1,0,0,1
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,3,5,0,0,0,0,0,2,0,0,0,0,1,0,0,1
0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,2,0,0,1
3,3,0,10,9,1,0,0,0,0,3,0,2,0,1,8,3,0,1
11,3,0,15,7,0,0,3,0,0,6,0,0,0,2,8,0,2,0
1,0,0,3,7,0,0,0,0,0,0,0,0,0,0,1,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
6,8,0,6,19,1,2,1,0,1,8,0,0,0,0,3,0,0,1
0,2,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1,1,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,1
0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,4,0,0,0,0,0,2,0,0,0,0,1,0,0,1
0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,1,0,0,1
4,7,0,10,30,0,2,1,0,0,14,0,1,2,0,17,0,3,1
3,2,0,2,11,0,0,0,0,0,5,0,0,0,0,1,0,1,0
4,1,0,5,5,1,0,0,0,0,8,0,0,2,2,3,0,0,1
0,0,0,2,3,0,0,0,0,0,2,0,0,1,1,1,0,0,0
2,0,0,5,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,2,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,1,0,3,1,0,0,0,0,0,0,0,0,0,1,5,0,0,0
0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
0,0,0,3,3,0,0,0,1,0,1,0,0,0,0,0,0,1,0
1,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,5,1,34,12,0,0,0,0,0,16,0,1,1,3,7,0,4,0
7,2,0,14,16,0,0,0,0,0,8,0,0,0,3,36,0,2,0
4,1,0,16,7,0,0,2,0,0,3,0,3,2,1,2,0,1,0
6,2,1,46,3,0,0,1,0,0,9,0,0,6,2,3,0,3,0
0,1,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,3,1
0,0,0,4,6,0,0,0,0,0,0,0,0,1,0,1,0,0,1
4,1,0,1,0,0,0,2,0,0,2,0,0,0,1,1,0,1,1
0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,7,0,2,5,0,0,0,0,0,4,1,1,0,0,4,0,0,0
7,10,1,6,17,0,0,0,0,0,6,1,0,0,3,11,0,1,0
0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
4,7,0,16,40,0,0,0,0,0,2,0,5,0,0,2,13,8,1
3,9,0,10,43,0,0,0,1,0,4,0,0,0,2,4,0,0,1
0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,1,1
0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1
0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,4,1,0,0,0,0,0,4,0,0,0,0,0,0,0,1
0,1,0,19,19,0,0,0,0,0,18,0,0,0,1,1,1,1,0
