label,aapp,acab,acty,aggp,amas,amph,anab,anim,anst,antb,arch,bacs,bact,bdsu,bdsy,bhvr,biof,bird,blor,bmod,bodm,bpoc,bsoj,celc,celf,cell,cgab,chem,chvf,chvs,clas,clna,clnd,cnce,comd,crbs,diap,dora,drdd,dsyn,edac,eehu,elii,emod,emst,enty,enzy,euka,evnt,famg,ffas,fish,fndg,fngs,food,ftcn,genf,geoa,gngm,gora,grpa,grup,hcpp,hcro,hlcs,hops,horm,humn,idcn,imft,inbe,inch,inpo,inpr,irda,lang,lbpr,lbtr,mamm,mbrt,mcha,medd,menp,mnob,mobd,moft,mosq,neop,nnon,npop,nusq,ocac,ocdi,orch,orga,orgf,orgm,orgt,ortf,patf,phob,phpr,phsf,phsu,plnt,podg,popg,prog,pros,qlco,qnco,rcpt,rept,resa,resd,rnlw,sbst,shro,socb,sosy,spco,tisu,tmco,topp,virs,vita,vtbt
fake,1,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,1,0,3,0,0,1,0,0,0,1,1,0,1,0,0,5,0,0,7,0,7,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,5,0,1,1,2,0,5,3,0,0,0,0,0,0,0,1,0,0,0,3,2,1,0,0
fake,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,3,0,0,1,0,0,0,1,0,0,1,0,0,4,0,0,5,0,6,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,1,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,1,1,2,0,5,0,1,3,2,0,6,10,0,0,0,0,0,0,0,1,1,0,0,6,0,1,0,0
TRUE,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,4,0,0,0,0,0,0,0,0,2,0,0,5,0,0,0,2,0,2,0,0,0,0,0,1,0,3,0,1,0,1,12,0,1,21,0,13,3,0,0,0,2,4,0,0,0,0,7,1,0,1,0,10,0,2,1,0,0,0,0,1,3,4,0,1,0,0,0,1,0,1,3,2,2,3,0,1,0,1,0,3,2,5,0,0,3,1,0,38,24,0,0,1,0,0,0,0,2,0,11,0,20,1,1,0,0
fake,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,7,0,0,0,0,0,0,0,0,0,1,0,0,9,0,0,6,0,5,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,4,0,1,0,0,2,0,0,0,1,2,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,2,0,1,0,1,3,1,0,7,8,0,0,0,0,0,0,0,0,0,3,0,7,1,4,0,0
fake,2,0,6,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,3,0,1,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,2,0,11,0,0,0,0,0,1,0,0,1,1,0,0,13,0,0,18,0,10,3,0,0,0,0,3,0,0,0,1,9,1,1,0,0,17,0,0,0,0,0,0,1,1,5,7,1,1,0,0,0,1,0,2,3,1,0,2,2,1,0,1,0,1,0,2,0,1,3,4,0,21,27,1,0,1,0,0,0,0,3,2,10,1,19,1,4,0,0
fake,1,0,2,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5,0,0,0,0,0,0,1,1,0,1,0,0,11,0,0,7,0,12,2,1,0,0,1,1,0,0,0,0,6,0,3,2,0,6,0,0,0,0,0,0,0,0,5,3,0,0,0,1,0,0,0,1,0,1,0,2,1,3,0,2,0,1,0,1,0,1,6,6,0,13,5,0,0,1,0,0,1,0,1,2,2,0,18,1,2,0,0
fake,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,8,0,0,5,0,0,2,0,0,0,1,1,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,0,0,0,0,0,0,2,2,0,8,1,0,0,1,0,0,0,0,0,2,0,0,2,1,2,0,0
fake,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
fake,26,0,14,0,1,0,0,2,0,0,0,11,0,5,1,0,1,0,1,4,0,4,0,3,0,6,0,0,0,0,1,5,0,12,1,0,1,0,0,10,0,0,0,0,0,0,2,0,1,3,0,0,29,0,1,45,7,10,13,0,0,0,0,2,0,0,0,1,26,9,0,0,3,23,1,0,4,1,2,1,0,3,6,8,0,2,0,0,2,3,2,1,3,2,2,2,1,6,0,1,0,2,2,7,0,2,9,5,0,72,32,4,0,6,0,0,0,0,4,10,19,3,25,5,8,0,0
TRUE,2,0,5,0,1,0,0,1,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,7,0,0,16,1,1,5,0,0,0,0,1,0,0,0,0,11,1,1,0,0,17,0,0,1,0,1,1,0,3,2,5,0,0,0,0,4,0,1,1,1,0,1,1,1,4,0,0,0,0,0,1,0,0,1,4,0,21,12,0,0,3,0,0,0,0,0,0,8,0,4,1,4,0,0
fake,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
fake,9,0,8,1,0,0,0,4,1,0,0,3,0,0,1,0,0,0,1,2,0,1,0,2,1,0,0,0,0,0,0,1,0,8,0,0,0,0,0,8,0,0,1,0,0,1,1,0,3,0,0,0,16,0,1,35,1,6,8,0,0,1,0,0,0,2,0,2,12,9,1,1,1,21,1,1,3,1,6,2,0,1,7,7,0,2,0,0,3,2,3,1,2,1,2,1,1,5,0,2,1,1,0,8,0,1,5,3,0,35,11,0,1,10,0,0,1,0,3,2,9,1,12,4,6,0,0
fake,5,0,9,0,1,0,0,2,0,0,0,3,0,0,0,1,0,0,0,4,2,1,0,1,1,0,0,0,0,0,1,2,0,4,2,0,0,2,0,6,0,0,0,0,0,0,1,1,0,1,0,0,13,0,2,24,4,7,4,0,1,0,1,2,0,0,0,1,15,1,1,1,1,21,0,1,3,1,2,1,0,2,5,12,0,0,0,0,2,0,2,1,4,5,1,1,1,3,0,0,0,2,0,11,1,1,3,8,0,37,20,0,0,7,0,0,1,0,2,1,11,0,19,2,5,0,0
TRUE,2,0,4,0,1,0,0,1,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,7,0,0,18,1,1,3,0,0,0,0,1,0,0,0,0,12,1,1,0,0,17,0,0,0,0,1,1,0,3,2,4,0,0,0,0,4,0,1,1,1,0,1,0,1,4,0,0,0,0,0,1,0,0,1,3,0,21,12,0,0,4,0,0,0,0,0,0,7,0,5,1,4,0,0
fake,5,0,9,2,0,0,0,2,1,2,0,5,2,3,1,0,0,1,0,6,4,4,0,0,0,1,0,0,0,0,1,3,0,10,0,0,0,1,0,33,0,0,3,0,0,1,1,2,1,0,0,0,24,1,11,27,2,7,2,0,1,1,1,2,0,1,0,1,18,3,0,1,1,21,0,0,2,0,5,0,1,2,5,10,1,0,0,0,0,1,0,3,1,13,2,3,1,2,0,1,0,1,2,18,10,0,6,2,0,55,27,0,0,6,0,0,4,0,4,4,6,0,22,12,8,8,0
fake,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,3,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,3,0,0,0,1,0,0,6,0,0,1,0,0,0,0,2,0,0,0,7,1,1,0,0
fake,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,5,0,1,11,0,15,2,0,0,1,0,1,0,0,0,0,8,0,1,0,0,10,0,0,0,0,1,0,0,0,3,4,0,0,1,0,0,1,0,3,1,0,0,0,3,2,0,0,0,3,0,1,0,0,3,4,0,16,8,0,0,3,0,0,1,0,2,1,3,0,11,2,3,0,0
Fake,1,0,20,0,0,0,0,4,1,0,0,0,0,0,0,1,0,0,2,5,1,3,0,0,0,0,0,0,0,0,0,2,0,14,1,0,0,1,0,9,1,0,0,0,0,1,1,1,1,0,0,1,26,0,3,43,1,21,0,3,1,1,2,5,0,2,0,2,27,1,3,1,0,34,0,1,1,0,2,0,1,3,11,15,1,2,0,0,0,2,0,3,5,3,3,3,2,11,0,3,1,4,4,5,3,2,13,19,0,58,38,0,0,7,1,1,1,0,11,3,17,0,32,5,3,0,0
Fake,2,0,12,0,0,0,0,1,1,2,0,5,2,1,3,0,1,1,2,2,4,8,0,0,1,6,0,0,1,0,1,1,0,13,0,0,2,2,0,11,0,1,1,0,0,1,3,3,0,2,0,1,19,0,11,37,0,4,6,1,0,0,3,1,0,1,1,1,14,0,1,3,6,10,2,0,2,0,1,0,0,3,10,10,1,1,0,4,0,3,0,0,1,23,4,4,1,0,0,1,0,1,6,28,11,1,8,0,0,61,27,0,0,0,0,0,3,0,4,4,12,2,13,5,1,1,0
fake,2,0,15,2,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,1,1,5,0,0,1,0,0,0,0,0,0,0,0,7,0,0,1,1,0,11,0,0,0,0,0,1,1,2,1,4,0,1,29,0,0,32,0,24,5,1,1,1,2,4,0,0,0,3,24,3,4,0,0,13,0,1,2,1,1,0,0,7,9,20,1,0,0,1,1,4,0,6,6,2,2,4,0,8,0,2,0,5,1,7,3,1,16,10,0,45,28,0,0,4,1,1,0,0,8,3,17,0,19,2,8,0,0
