Pathogen,MedicalCondition,Medicine,label_fake
0,0,0,1
0,0,1,1
0,0,1,1
1,0,0,1
0,0,0,1
0,1,1,1
1,2,2,1
0,1,0,1
1,5,4,0
0,4,0,1
0,0,1,1
0,0,0,1
1,0,0,1
1,0,2,0
0,2,0,0
0,0,0,0
0,1,3,0
1,0,0,0
0,1,1,0
2,1,0,0
1,0,0,0
0,0,0,0
0,0,1,0
0,0,3,0
1,0,7,0
1,0,1,0
2,0,0,0
2,2,0,0
2,0,0,0
2,0,0,0
1,1,0,0
4,3,1,1
0,0,1,1
0,0,1,1
1,0,0,1
1,1,0,1
4,0,0,1
0,0,0,1
10,3,0,1
27,7,2,0
0,0,0,1
0,1,0,1
12,5,2,1
2,0,0,1
1,0,0,1
0,1,1,1
0,0,0,1
0,0,0,1
1,0,0,1
1,1,0,1
5,7,5,1
3,4,2,0
2,10,3,1
0,0,2,0
1,1,2,0
3,0,0,1
1,1,2,0
0,2,0,0
0,1,1,0
1,1,0,0
3,1,0,0
1,0,1,0
1,0,2,0
1,0,0,0
1,1,0,0
5,8,3,0
10,1,3,0
4,1,2,0
8,2,6,0
2,0,0,1
0,0,0,1
2,1,5,1
1,0,0,1
2,0,0,1
0,1,0,0
4,2,3,0
0,0,0,1
2,0,0,1
5,4,4,1
15,1,9,1
2,0,0,1
0,0,0,1
0,0,0,1
0,0,2,1
9,9,1,0
9,9,5,0
20,7,2,0
1,5,0,0
0,1,0,0
1,2,0,0
1,6,2,0
2,1,0,0
7,1,3,1
2,2,1,1
14,11,6,1
15,11,4,1
3,0,3,1
67,24,23,1
10,2,3,1
11,3,11,1
5,0,2,1
19,27,43,1
1,1,2,1
5,0,0,1
2,1,0,1
13,3,5,1
7,3,2,1
27,24,18,1
21,8,4,1
5,5,4,0
2,8,13,0
9,9,4,1
27,10,17,1
0,0,1,1
7,6,7,0
11,2,0,1
2,2,1,1
19,3,3,1
2,0,1,1
4,1,2,1
5,1,2,1
4,1,0,1
3,4,6,0
8,4,4,0
8,8,4,0
15,16,9,0
9,7,8,0
24,15,15,0
6,8,29,0
12,9,12,1
7,3,2,1
1,0,0,1
3,0,0,1
2,0,1,1
0,0,2,1
0,1,0,1
3,0,9,0
13,6,20,0
2,0,4,0
4,4,9,0
26,18,39,0
21,5,29,0
18,9,5,1
7,6,10,1
34,14,15,1
13,5,4,1
33,12,17,1
12,10,10,1
27,15,32,1
20,5,13,1
1,0,0,1
5,3,3,1
34,10,13,1
15,7,34,0
23,33,7,0
22,13,28,0
6,12,7,0
8,31,21,0
6,13,6,0
1,0,17,0
0,0,0,0
2,2,1,0
1,11,0,0
0,2,1,0
1,0,0,0
2,2,0,0
2,0,1,0
0,0,0,0
2,0,4,0
11,1,2,0
30,13,35,1
28,26,18,1
2,2,2,0
10,6,2,1
11,4,6,1
9,3,1,1
8,3,3,1
22,8,15,1
14,8,2,1
13,9,6,0
10,2,2,1
23,12,33,1
0,1,0,1
13,5,6,1
8,1,2,1
1,5,0,1
1,0,0,1
24,26,33,1
10,7,5,1
2,2,0,1
34,11,11,1
1,2,0,1
27,7,2,0
22,3,4,1
4,3,0,1
28,8,16,1
7,6,4,1
38,11,8,1
9,7,8,0
43,29,20,0
10,11,3,1
13,6,3,1
10,0,3,1
8,2,4,1
2,4,7,1
5,1,7,1
2,0,12,1
9,2,9,1
5,1,8,1
2,1,8,1
2,3,5,0
16,1,2,1
27,9,4,1
5,5,2,1
3,2,0,1
0,1,1,1
53,21,11,1
19,4,6,0
2,0,0,1
38,5,23,1
30,7,8,1
20,4,4,0
51,24,20,1
