persons,norps,facs,orgs,gpes,products,events,arts,laws,langs,dates,times,percents,moneys,ords,cards,quants,location,label_fake
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,3,0,0,1
1,0,0,3,1,0,0,0,0,0,1,0,0,0,0,4,0,0,1
0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
0,0,0,4,1,0,0,0,0,0,2,4,0,0,1,9,1,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,4,3,0,0,0,0,0,1,0,0,0,0,1,0,0,1
0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,2,0,0,1
3,2,0,9,8,1,0,0,0,0,2,0,0,0,1,9,3,0,1
5,3,0,8,9,0,0,1,0,0,6,0,0,0,2,7,0,3,0
2,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
9,8,0,6,18,0,1,0,0,0,7,0,0,0,0,3,0,0,1
0,2,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,1
0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1
0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,1,0,0,1
0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,1,0,0,1
6,7,0,8,27,0,2,0,0,0,11,0,0,0,0,15,0,6,1
4,2,0,6,9,0,0,0,0,0,5,0,0,0,0,1,0,0,0
2,1,0,9,4,0,0,0,0,0,6,0,0,1,2,5,0,0,1
0,0,0,1,1,0,0,0,0,0,2,0,0,0,1,2,0,1,0
